node,coord0,coord1,aggregate
357,-0.151691,0.0367366,31
358,-0.151691,-0.0367366,48
359,-0.0505635,-0.0367366,143
360,-0.252818,0.11021,71
361,-0.252818,0.0367366,70
362,-0.353944,0.0367366,37
363,-0.353944,-0.0367366,144
364,-0.252818,-0.0367366,31
365,-0.252818,-0.11021,48
366,-0.151691,-0.11021,48
367,-0.353944,0.183683,137
368,-0.353944,0.11021,37
369,-0.455072,0.257156,142
370,-0.455072,0.183683,142
371,-0.556199,0.183683,13
372,-0.556199,0.11021,13
373,-0.455072,0.11021,12
374,-0.455072,0.0367366,37
375,-0.556199,0.0367366,12
376,-0.556199,-0.0367366,76
377,-0.455072,-0.0367366,37
378,-0.657326,0.11021,59
379,-0.657326,0.0367366,9
380,-0.758452,0.0367366,59
381,-0.758452,-0.0367366,9
382,-0.657326,-0.0367366,9
383,-0.657326,-0.11021,76
384,-0.556199,-0.11021,54
385,-0.353944,-0.11021,53
386,-0.353944,-0.183683,53
387,-0.252818,-0.183683,48
388,-0.455072,-0.11021,144
389,-0.556199,-0.183683,144
390,-0.455072,-0.183683,74
391,-0.455072,-0.257156,53
392,-0.353944,-0.257156,65
393,-0.0818135,-0.132914,60
394,-0.0119365,-0.155619,115
395,0.0193135,-0.0594411,115
396,-0.182941,-0.206388,60
397,-0.113063,-0.229092,60
398,-0.144313,-0.325269,102
399,-0.0744365,-0.347974,150
400,-0.0431865,-0.251796,115
401,0.0266905,-0.274501,150
402,0.0579405,-0.178323,27
403,-0.284068,-0.279861,152
404,-0.214191,-0.302565,60
405,-0.385194,-0.353334,65
406,-0.315318,-0.376038,77
407,-0.346568,-0.472216,77
408,-0.276691,-0.49492,102
409,-0.245441,-0.398743,102
410,-0.175563,-0.421447,102
411,-0.206813,-0.517624,73
412,-0.136936,-0.540329,73
413,-0.105687,-0.444151,73
414,-0.30794,-0.591097,86
415,-0.238063,-0.613802,73
416,-0.269313,-0.709979,116
417,-0.199437,-0.732684,107
418,-0.168186,-0.636506,93
419,-0.0983095,-0.659211,107
420,-0.0670595,-0.563033,93
421,-0.0045595,-0.370679,150
422,0.0653175,-0.393383,151
423,0.0965675,-0.297206,151
424,-0.0358095,-0.466856,93
425,0.0028175,-0.585738,107
426,0.0340675,-0.489561,151
427,0.103945,-0.512265,91
428,0.135194,-0.416088,22
429,0.101127,-0.118882,27
430,0.144314,-0.0594411,27
431,0.139754,-0.237764,151
432,0.182941,-0.178323,30
433,0.264754,-0.237764,22
434,0.307941,-0.178323,171
435,0.226127,-0.118882,30
436,0.269314,-0.0594411,30
437,0.178381,-0.356647,22
438,0.221568,-0.297206,22
439,0.217008,-0.475529,90
440,0.260195,-0.416088,90
441,0.342008,-0.475529,182
442,0.385195,-0.416088,182
443,0.303381,-0.356647,90
444,0.346568,-0.297206,47
445,0.428381,-0.356647,182
446,0.471568,-0.297206,63
447,0.389754,-0.237764,47
448,0.467009,-0.475529,83
449,0.510195,-0.416088,83
450,0.592009,-0.475529,81
451,0.635195,-0.416088,81
452,0.553382,-0.356647,35
453,0.596568,-0.297206,35
454,0.514754,-0.237764,63
455,0.351127,-0.118882,171
